Sample;Density;ModulusOfElasticity
Ohara S-LAH64 Optical Glass;4.3;122.0
Ohara S-LAH65V Optical Glass;4.72;122.0
Ohara S-LAH66 Optical Glass;4.23;122.0
Ohara S-LAH71 Optical Glass;4.36;110.0
Ohara S-LAH79 Optical Glass;5.23;126.0
Ohara S-LAH88 Optical Glass;4.74;114.0
Ohara S-LAH89 Optical Glass;4.7;121.0
Ohara S-LAH92 Optical Glass;4.87;123.0
Ohara S-LAL 7 Optical Glass;3.73;95.8
Ohara S-LAL 8 Optical Glass;3.79;114.0
Ohara S-LAL 9 Optical Glass;3.63;108.0
Ohara S-LAL10 Optical Glass;3.86;106.0
Ohara S-LAL12 Optical Glass;4.01;91.0
Ohara S-LAL13 Optical Glass;3.6;107.0
Ohara S-LAL14 Optical Glass;3.7;112.0
Ohara S-LAL18 Optical Glass;4.18;120.0
Ohara S-LAL54 Optical Glass;3.82;87.7
Ohara S-LAL56 Optical Glass;3.85;91.1
Ohara S-LAL58 Optical Glass;4.03;92.8
Ohara S-LAL59 Optical Glass;4.04;114.0
Ohara S-LAL61 Optical Glass;4.04;119.0
Ohara S-LAM 2 Optical Glass;4.32;93.5
Ohara S-LAM 3 Optical Glass;4.25;86.8
Ohara S-LAM 7 Optical Glass;3.81;97.0
Ohara S-LAM51 Optical Glass;3.79;101.0
Ohara S-LAM52 Optical Glass;3.95;95.7
Ohara S-LAM54 Optical Glass;4.08;117.0
Ohara S-LAM55 Optical Glass;4.22;96.7
Ohara S-LAM58 Optical Glass;4.0;91.9
Ohara S-LAM59 Optical Glass;3.77;101.0
Ohara S-LAM60 Optical Glass;4.06;113.0
Ohara S-LAM61 Optical Glass;4.1;93.7
Ohara S-LAM66 Optical Glass;3.55;121.0
Ohara S-NBH 5 Optical Glass;3.02;90.2
Ohara S-NBH 8 Optical Glass;3.19;102.0
Ohara S-NBH51 Optical Glass;3.29;110.0
Ohara S-NBH52 Optical Glass;3.09;97.9
Ohara S-NBH53 Optical Glass;3.28;103.0
Ohara S-NBH55 Optical Glass;3.68;105.0
Ohara S-NBH56 Optical Glass;3.49;107.0
Ohara S-NBH57 Optical Glass;4.0;112.0
Ohara S-NBM51 Optical Glass;2.93;81.7
Ohara S-NPH 1 Optical Glass;3.29;89.3
Ohara S-NPH 2 Optical Glass;3.58;99.1
Ohara S-NPH 3 Optical Glass;3.59;102.0
Ohara S-NPH 4 Optical Glass;3.61;94.5
Ohara S-NPH 5 Optical Glass;3.71;92.9
Ohara S-NPH53 Optical Glass;3.78;88.6
Ohara S-NSL 3 Optical Glass;2.48;70.0
Ohara S-NSL 5 Optical Glass;2.49;69.1
Ohara S-NSL36 Optical Glass;2.46;64.0
Ohara S-PHM52 Optical Glass;3.67;71.5
Ohara S-PHM53 Optical Glass;3.51;70.8
Ohara S-TIH 1 Optical Glass;3.06;88.4
Ohara S-TIH 3 Optical Glass;3.11;90.8
Ohara S-TIH 4 Optical Glass;3.15;91.9
Ohara S-TIH 6 Optical Glass;3.37;93.1
Ohara S-TIH10 Optical Glass;3.06;102.0
Ohara S-TIH11 Optical Glass;3.24;91.2
Ohara S-TIH13 Optical Glass;3.1;89.9
Ohara S-TIH14 Optical Glass;3.17;88.8
Ohara S-TIH18 Optical Glass;3.07;89.1
Ohara S-TIH23 Optical Glass;3.3;92.2
Ohara S-TIH53 Optical Glass;3.54;96.0
Ohara S-TIL 1 Optical Glass;2.54;70.5
Ohara S-TIL 2 Optical Glass;2.52;69.9
Ohara S-TIL 6 Optical Glass;2.5;64.8
Ohara S-TIL25 Optical Glass;2.59;75.3
Ohara S-TIL26 Optical Glass;2.57;73.9
Ohara S-TIL27 Optical Glass;2.58;74.9
Ohara S-TIM 1 Optical Glass;2.71;78.6
Ohara S-TIM 2 Optical Glass;2.69;77.6
Ohara S-TIM 3 Optical Glass;2.67;77.9
Ohara S-TIM 5 Optical Glass;2.63;76.3
Ohara S-TIM 8 Optical Glass;2.63;75.0
Ohara S-TIM22 Optical Glass;2.79;79.8
Ohara S-TIM25 Optical Glass;2.91;84.1
Ohara S-TIM27 Optical Glass;2.76;79.3
Ohara S-TIM28 Optical Glass;2.98;85.5
Ohara S-TIM35 Optical Glass;2.96;87.5
Ohara S-TIM39 Optical Glass;2.92;81.7
Ohara S-YGH51 Optical Glass;4.4;122.0
Mateck Barium Fluoride, BaF2;4.83;65.85
Mateck Cesium Iodide, CsI;4.51;2.0
Mateck Calcium Fluoride (CaF2);3.18;117.95
Mateck Lithium Fluoride (LiF);2.6;115.2
Mateck Magnesium Fluoride (MgF2);3.18;124.35
Mateck Potassium Bromide (KBr);2.75;23.4
Mateck Potassium Chloride (KCl);1.98;27.5
Mateck Sodium Chloride (NaCl);2.17;38.2
Mateck Thallium Bromoiodide TIBr-TII (KRS-5);7.37;31.0
Corundum, Aluminum Oxide, Alumina, 99.9%, Al2O3;3.96;370.0
85% Alumina, vitreous body;3.46;227.5
95% Alumina, vitreous body;3.68;282.5
99.5% Alumina, vitreous body;3.83;360.0
Alumina, alpha Al2O3, 99.5%;3.9;370.0
Alumina, alpha Al2O3, 96%;3.72;303.0
Cordierite, 2MgO-2Al2O3-5SiO2;2.3;125.0
Mullite, 3Al2O3-2SiO2;2.8;150.0
CoorsTek AD-85 Alumina (nom. 85% Al2O3);3.42;221.0
CoorsTek AD-90 Alumina (nom. 90% Al2O3);3.6;276.0
CoorsTek AD-94 Alumina (nom. 94% Al2O3);3.7;303.0
CoorsTek FG-995 Alumina (nom. 98.5% Al2O3);3.8;350.0
CoorsTek AD-998 Alumina(nom. 99.8% Al2O3);3.92;370.0
CoorsTek PlasmaPure™ AD-998 Alumina (nom. 99.8% Al2O3);3.93;370.0
Advanced Ceramics ALC 1081 (C-786) Alumina;3.6;312.0
Advanced Ceramics ALC 1082 (C-786) Alumina;3.7;312.0
Advanced Ceramics ACL 1085 (C-795) Alumina;3.8;320.0
Advanced Ceramics ACL 1091 (C-799) Alumina;3.9;350.0
CeramTec 547 Cordierite (2MgO-2Al2O3-5SiO2);2.3;128.0
CeramTec 771 94% Alumina (Al2O3);3.6;281.0
CeramTec V 38 Alumina, 96.0% Al2O3-SiO2;3.75;350.0
CeramTec B 601 Alumina, 98.5%;3.83;320.0
CeramTec B 40 Alumina, 99.1%;3.82;360.0
CeramTec V 679 Alumina, 99.7%;3.9;390.0
CeramTec AT 79 Alumina, 99.6%;3.95;390.0
CeramTec RK 87 Alumina, 99.8%;3.96;406.0
CeramTec DC 25 Dispersion Ceramic, Al2O3-ZrO2;4.37;357.0
CeramTec Rubalit IS 95 Alumina;3.73;330.0
CeramTec Rubalit IS 95 Brown Alumina;3.72;300.0
CeramTec 447 Cordierite;1.8;125.0
CeramTec 701 Cordierite;2.5;130.0
CeramTec Sikor S Cordierite;2.2;70.0
CeramTec 614/698 Alumina, 96%;3.7;276.0
CeramTec Rubalit 708S Alumina, 96%;3.78;340.0
CeramTec 975 Alumina, 99.5%;3.9;380.0
CeramTec Rubalit A 1999.5 Alumina, 99.7%;3.88;350.0
CeramTec 433 Alumina, 99.9%;4.0;400.0
CeramTec 950 Zirconia Toughened Alumina (ZTA), Al2O3•ZrO2;4.4;289.0
CeramTec Rubalit HSS Alumina, 75% (High Strength Substrate);4.35;335.0
CeramTec Rubalit A 1894 Alumina, 94%;3.7;320.0
CeramTec Ziralit Zirconia Toughened Alumina (ZTA), Al2O3•ZrO2;3.8;200.0
CeramTec Rubalit A 1896 brown Alumina;3.82;350.0
CeramTec ALUTIT S Aluminum Titanate (Strength Optimized);3.35;20.0
CeramTec ALUTIT T Aluminum Titanate (Thermal Shock Optimized);3.35;17.0
CeramTec 965 Toughened Alumina (Al2O3-ZrO2);4.2;344.0
COI Ceramics Nextel™ AS-N312 Oxide Ceramic Matrix Composite, Aluminosilicate;2.3;31.0
COI Ceramics Nextel™ AS-N720 Oxide Ceramic Matrix Composite, Aluminosilicate;2.6;76.0
COI Ceramics Nextel™ A-N720 Oxide Ceramic Matrix Composite, Alumina;2.73;70.0
COI Ceramics Nextel™ AS-N650 Oxide Ceramic Matrix Composite, Aluminosilicate;2.8;96.0
COI Ceramics Nextel™ AS-N610 Oxide Ceramic Matrix Composite, Aluminosilicate;2.83;124.0
CoorsTek SAPPHAL Advanced Alumina;3.99;395.0
CoorsTek ADS 11 Advanced Alumina;3.9;360.0
CoorsTek PLASMAPURE™ AD-998-I2 Min. 99.8% Al2O3;3.92;380.0
CoorsTek PLASMAPURE-UC™ SA-999-I Min. 99.9% Al2O3;3.92;386.0
CoorsTek AZ-67 Zirconia Toughened Alumina;4.4;340.0
CoorsTek AZ-93 Zirconia Toughened Alumina;4.8;295.0
CoorsTek Cercom PAD EBON-A Pressure Assisted Densification Black Alumina;3.93;390.0
CoorsTek ADO-96 Nom. 96% Al2O3;3.81;354.0
CoorsTek AD-999 Nom. 99.9% Al2O3;3.94;386.0
CoorsTek StatSafe™ ADC Static Dissipative Alumina;3.85;370.0
CoorsTek ADOS-90R 91% Alumina Thick Film Substrate;3.72;310.0
CoorsTek ADS-96R 96% Alumina Thick Film Substrate;3.75;331.0
CoorsTek ADS-995R MidFilm™ 99.5% Alumina Thick Film;3.9;379.0
CoorsTek ADS-995 99.5% Alumina Thin Film;3.88;372.0
CoorsTek Superstrate TPS 99.6% Alumina Thin Film;3.95;372.0
Ferro Aluminum Oxide P87;3.48;248.0
Ferro Aluminum Oxide P890;3.57;293.0
Ferro Aluminum Oxide P3640;3.67;276.0
Ferro Aluminum Oxide P3142;3.7;318.0
Ferro Aluminum Oxide P96;3.75;310.0
Ferro Aluminum Oxide P99;3.92;331.0
Saffil Alumina/Silica SiO2 4/Al2O3 96;3.4;200.0
Goodfellow Ruby, Al2O3;3.98;370.0
Goodfellow Alumina Silica Boria Al2O3 62/SiO2 24/B2O3 14 (Nextel 312);2.7;140.0
Goodfellow Alumina Silica Boria Al2O3 70/SiO2 28/B2O3 2 (Nextel 440);3.05;185.0
Mateck Sapphire (Al2O3);3.98;444.5
Materion Durox 997 99.7% Al2O3;3.9;375.0
Materion Durox AL 99.8% Al2O3;3.94;375.0
Materion Durox UHP 99.9% Al2O3;3.95;375.0
3M Nextel™ 312 Industrial Ceramic Fiber;2.7;150.0
3M Nextel™ 440 Industrial Ceramic Fiber;3.05;190.0
3M Nextel™ 550 Industrial Ceramic Fiber;3.03;193.0
3M Nextel™ 610 Composite Ceramic Fiber;3.9;373.0
3M Nextel™ 720 Composite Ceramic Fiber;3.4;260.0
Morgan Advanced Ceramics Alumina AL998A Aluminum Oxide Ceramic;3.94;391.0
Morgan Advanced Ceramics Deranox™975 Mac-A975R Technical Ceramic;3.8;340.0
Morgan Advanced Ceramics Deranox™970 Mac-A970R Technical Ceramic;3.74;330.0
Morgan Advanced Ceramics Hilox™ 965 Mac-A955S Technical Ceramic;3.75;336.0
Morgan Advanced Ceramics Hilox™ 880 Mac-A860S Technical Ceramic;3.57;250.0
Morgan Advanced Ceramics Deranox™ 995 Alumina;3.89;370.0
Morgan Advanced Ceramics Sintox™ FF Alumina;3.7;325.0
Morgan Advanced Ceramics HIP Vitox™ Bio-compatible Alumina;3.98;407.0
Schott Sapphire Optical Window;3.98;345.0
Thermal Ceramics Saffil Bulk Fiber;3.3;296.0
Thermal Ceramics Saffil Fibralloy Preform;3.4;310.0
CoorsTek Zirconia-Toughened Alumina, ZTA;4.05;360.0
Zircar Ceramics Alumina Mat;0.035;320.0
Zircar Ceramics HC Sapphire (Single Crystal Aluminum Oxide) Hangar Clip;3.98;380.0
3M Nextel™ AF-10 Industrial Woven Fabric 312;2.7;152.0
3M Nextel™ BF-20 Woven Fabric 440;3.05;186.0
3M Nextel™ XN-513 Woven Fabric 720;3.4;248.0
Steatite (Magnesium Silicon Oxide);2.5;100.0
CeramTec 645 Steatite (MgO-SiO2);2.7;107.0
CeramTec 665 Steatite, MgO•SiO2;2.8;117.0
CeramTec Frequenta Steatite;2.8;120.0
Harris Acoustic Sensors EC-98 Lead Magnesium Niobate Piezoelectric;6.1;61.0
Borosilicate Glass;2.4;62.0
96% Silica Consolidated Reconstructed Glass;2.18;68.0
Potassium Sodium Niobate, K0.5Na0.5NbO3;4.36;104.0
Fused Quartz;2.2;74.0
CoorsTek FUSED QUARTZ Min. 99.99% SiO2;2.2;72.0
Corning 7052 Alkali Barium Borosilicate Sealing Glass Powder;2.27;57.6
Corning 7070 Lithia Potash Borosilicate Crushed/Powdered Glass;2.13;51.0
Mateck Fused Silica UV-VIS Grade (SiO2);2.21;73.6
Mateck Quartz Crystalline (SiO2);2.65;96.0
Nyco NYGLOS M3 Wollastonite;2.9;416.5
Potters Industries Spheriglass 1922 Solid Glass Spheres;2.5;68.9
Potters Industries Spheriglass 3000E Solid Glass Spheres;2.54;72.4
Saint-Gobain Puropsil B Infrared Grade Low [OH] Optical Fused Quartz;2.21;74.0
Thermal Ceramics Kaowool Bulk Fiber;2.56;84.1
Thermal Ceramics Kaowool Fibralloy Preform;2.6;99.85
Magnéli-Phase 40 vol.-% Ti4O7/60 vol.-% Ti5O9;5.24;221.0
CeramTec 192/193 Titania;4.0;228.0
Harris Acoustic Sensors EC-63 Lead Zirconium Titanate Piezoelectric;7.5;89.0
Harris Acoustic Sensors EC-64 Lead Zirconium Titanate Piezoelectric;7.5;78.0
Harris Acoustic Sensors EC-65 Lead Zirconium Titanate Piezoelectric;7.5;66.0
Harris Acoustic Sensors EC-66 Lead Zirconium Titanate Piezoelectric;7.45;62.0
Harris Acoustic Sensors EC-67 Lead Zirconium Titanate Piezoelectric;7.5;93.0
Harris Acoustic Sensors EC-69 Lead Zirconium Titanate Piezoelectric;7.5;99.0
Harris Acoustic Sensors EC-70 Lead Zirconium Titanate Piezoelectric;7.45;63.0
Harris Acoustic Sensors EC-76 Lead Zirconium Titanate Piezoelectric;7.45;64.0
Harris Acoustic Sensors EC-97 Lead Titanate Piezoelectric;12.8;128.0
Piezo Kinetics PKI 409E Navy Type I Lead Zirconate Titanate Piezoelectric;7.6;76.0
Piezo Kinetics PKI 502 Navy Type II Lead Zirconate Titanate Piezoelectric;7.7;71.0
Piezo Kinetics PKI 532 Lead Zirconate Titanate Piezoelectric;7.6;63.0
Piezo Kinetics PKI 552 Lead Zirconate Titanate Piezoelectric;7.6;60.0
Piezo Kinetics PKI 556 Lead Zirconate Titanate Piezoelectric;7.8;58.0
Piezo Kinetics PKI 802 Navy Type III Lead Zirconate Titanate Piezoelectric;7.6;72.0
Piezo Kinetics PKI 804 Navy Type III Lead Zirconate Titanate Piezoelectric;7.7;73.0
Magnesia Stabilized Zirconia;5.78;197.5
Yttria Stabilized Zirconia, YSZ;5.97;205.0
CeramTec DN 70 Dispersion Ceramic, Al2O3-ZrO2;4.01;360.0
CeramTec ZN 40 Zirconia, ZrO2-MgO;5.74;210.0
CeramTec MZ 111 Zirconia, ZrO2-Y2O3;6.08;210.0
CeramTec MZ 429 Zirconia, ZrO2-Y2O3;6.05;210.0
CeramTec 848 Zirconia, ZrO2•MgO;6.0;186.0
CeramTec MZ BE Zirconia 3Y-TZP, Dental Grade;6.04;214.0
CeramTec ATZ Alumina Toughened Zirconia, Dental Grade;5.48;260.0
CoorsTek Technox 500 MgO Partially Stabilized Zirconia;5.6;200.0
CoorsTek Technox 2000 Sintered Y2O3 Partially Stabilized Zirconia;6.02;210.0
CoorsTek YZ 110 HS HIPped Y2O3 Yttria Tetragonal Zirconia Polycrystal;6.07;210.0
CoorsTek StatSafe™ ZDC Static Dissipative Zirconia;5.75;200.0
CoorsTek StatSafe™ ZDC-W Static Dissipative Zirconia;5.91;200.0
CoorsTek ZDY Yttria Fully Stabilized Zirconia;5.6;173.0
ENrG Thin E-Strate Zirconia Ribbon Ceramic Substrate;6.04;207.0
Ferro Zirmonite 200, ZTA;4.48;278.0
Ferro Zirmonite 1000, TZP;6.05;172.0
Morgan Advanced Ceramics Nilcra Zirconia 8Y Grade Zirconia;6.05;200.0
Morgan Advanced Ceramics Nilcra Zirconia MS Grade Zirconia;5.74;205.0
Morgan Advanced Ceramics Nilcra Zirconia 3Y-TZP Grade Y-TZP;6.05;205.0
Morgan Advanced Ceramics Nilcra Zirconia HIP'ed 3Y-TZP Grade Y-TZP;6.08;205.0
Morgan Advanced Ceramics CIM Zirconia Zirconia;6.0;220.0
China-Yixing Longly Refractories Zirconia Ceramics;6.0;208.0
CoorsTek TTZ (Dura-Z™) MgO Partially Stabilized Zirconia;5.72;200.0
Wieland Zeno™ Zr Disc Zirconium Oxide;6.06;210.0
AISI 1330 Steel;7.87;200.0
AISI 2330 Steel (UNS G23300);7.75;205.0
AISI 1345H Steel;7.85;205.0
AISI 4142 Steel, Annealed and Cold Drawn;7.85;206.0
AISI 4340 Steel, oil quenched 845°C, 650°C (1200°F) temper;7.85;213.0
AISI 4340 Steel, oil quenched 845°C, 425°C (800°F) temper;7.85;212.0
AISI E 52100 Steel (100Cr6, SUJ2, UNS G52986);7.81;210.0
SAE 950X HSLA Steel;7.75;206.0
Bohler-Uddeholm UDDEHOLM ORVAR SUPERIOR (Premium AISI H13) Hot Work Tool Steel;7.78;210.0
Bohler-Uddeholm UDDEHOLM ALVAR 14 Hot Work Tool Steel;7.78;215.0
Bohler-Uddeholm UDDEHOLM VANADIS 6 Cold Work Tool Steel;7.47;225.0
Bohler-Uddeholm UDDEHOLM VANADIS 23 (AISI M3:2) Hot Work Tool Steel;7.94;228.0
Bohler-Uddeholm UDDEHOLM VANADIS 4 EXTRA Powder Metallurgically Produced Tool Steel;7.7;205.0
Bohler-Uddeholm UDDEHOLM VANADIS 10 SUPERCLEAN 3 Powder Metallurgical Cold Work Tool Steel;7.42;220.0
AISI Grade 18Ni (200) Maraging Steel, Annealed;8.0;183.0
Bohler-Uddeholm UDDEHOLM VANADIS 30 AISI M2 + Co SUPERCLEAN 3 Powder Metallurgical Cold Work Tool Steel;7.94;234.0
Bohler-Uddeholm UDDEHOLM VANADIS 60 Powder Metallurgically Produced Tool Steel;7.92;248.0
Bohler-Uddeholm AISI D2 Cold Work Tool Steel;7.67;210.0
Bohler-Uddeholm BÖHLER S601 (M2 Modified) High Speed Steel For Cold Work Applications;8.1;217.0
Crucible Steel AIRKOOL (AISI A2) Tool Steel;7.86;207.0
Crucible Steel AISI 4340 Alloy Steel;7.83;207.0
AISI Grade 18Ni (250) Maraging Steel, nominal annealed properties;8.0;190.0
Industeel Superplast 400 High Hardness Mold Steel;7.8;210.0
AISI Grade 18Ni (350) Maraging Steel nominal annealed properties;8.08;200.0
AISI 4032 Steel, Annealed Cold Drawn Bar;7.85;200.0
AISI 4340 Steel, annealed, 25 mm round;7.85;192.0
AISI 4340 Steel, oil quenched 855°C (1570°F), 230°C (450°F) temper for 4 hrs.;7.85;196.0
AISI 8630 Steel, normalized;7.85;187.0
ASTM A131 Steel, Grade AH32;7.8;200.0
ASTM A517 Low Alloy Steel, Grade A;7.75;200.0
Assab Steels CALMAX Plastic Mold Material;7.78;194.0
Bohler-Uddeholm COMPAX™ AISI S7 MOLD QUALITY Cold Work Steel;7.81;200.0
Bohler-Uddeholm BÖHLER K340 ISODUR Premium Cold Work Steel;7.67;20.6
Bohler-Uddeholm O1 Cold Work Tool Steel;7.81;193.0
Bohler-Uddeholm AISI A2 Cold Work Tool Steel;7.72;190.0
Carpenter AerMet 100 Aged at 900°F;7.89;194.0
Carpenter AerMet 100 Aged at 875°F;7.89;192.0
Carpenter AerMet 310;7.97;192.0
Carpenter AerMet 340;7.86;192.0
PSM Industries Pacific Sintered Metals FX-233-T Infiltrated Alloy Steel;7.35;165.0
PSM Industries PolyAlloys MIM-2200 sintered Low Alloy Steel;7.6;193.0
PSM Industries PolyAlloys MIM-4605 sintered Low Alloy Steel;7.5;200.0
Sandvik SANMAC 316/316L Bar Steel;8.0;200.0
Sandvik SANMAC 316/316L Billet;7.9;200.0
Sandvik 1RK95 Strip steel;7.75;190.0
Sandvik Sanicro 75X Spring Wire;8.3;200.5
Sandvik APM 2327 UNS S32505, Hot Isostatic Pressed (HIP) Steel;7.8;190.0
Sandvik APM 2354 UNS S31603, Hot Isostatic Pressed (HIP) Steel;8.03;200.0
Latrobe Lescalloy 52100 VAC-ARC High Performance Bearing Steel;7.78;200.0
Latrobe LSS™ Chipper Knife Tool Steel (ASTM A8 Mod.);7.73;200.0
Latrobe LSS™ 4140 Alloy Steel (AISI 4140);7.83;200.0
Sandvik 5CR12 Plate, Sheet and Coil;7.7;220.0
Sandvik Kanthal AMPT Construction materials;7.25;220.0
Sandvik Kanthal APM Construction materials;7.1;220.0
Sandvik Bioline F562/F562LTi Wire;8.4;233.0
Sandvik Bioline Pt10Ir Wire;21.5;210.5
Sandvik Bioline Pt20Ir Wire;21.7;233.0
Sandvik Chromflex 7C27Mo2 Strip steel;7.7;210.0
Sandvik APM 2723 Hot Isostatic Pressed (HIP) Steel;7.98;230.0
Sandvik APM 2730 Hot Isostatic Pressed (HIP) Steel;8.1;240.0
Latrobe Lescalloy D6AC VAC-ARC High Strength Alloy Steel;7.86;210.0
Latrobe Dynaflex VAC-ARC High Strength Alloy Steel;7.81;207.0
Latrobe Tatmo™ ASTM M1 High Speed Steel;7.89;214.0
Latrobe Double Six™ ASTM M2 High Speed Steel;8.14;207.0
Latrobe Corsair™ ASTM M3-1 High Speed Steel;8.17;207.0
Latrobe Stark™ ASTM M4 High Speed Steel;7.97;207.0
Latrobe Tatmo-VN™ ASTM M7 High Speed Steel;7.94;207.0
Latrobe TNW™ ASTM M10 High Speed Steel;7.89;207.0
Latrobe Dynavan™ ASTM T15 Super High Speed Steel;8.19;207.0
Latrobe DuraTech™ M4 Powder Metal High Speed Steel (ASTM M4);7.92;214.0
Latrobe DuraTech™ 30 Powder Metal High Speed Steel (ASTM M3-2);8.05;214.0
Latrobe DuraTech™ M48 Powder Metal High Speed Steel (ASTM M48);8.25;214.0
Latrobe LSS™ H10 Hot Work Tool Steel (ASTM H10);7.78;207.0
Latrobe LSS™ H11 Hot Work Tool Steel (ASTM H11);7.8;207.0
Latrobe LSS™ H12 Hot Work Tool Steel (ASTM H12);7.67;207.0
Latrobe LSS™ H13 Tool Steel (ASTM H13);7.75;207.0
Latrobe LSS™ D2 Tool Steel (ASTM D2);7.7;207.0
Latrobe LSS™ D3 Tool Steel (ASTM D3);7.87;207.0
Latrobe LSS™ D5 Tool Steel (ASTM D5);7.72;207.0
AISI 5130 Steel;7.83;205.0
Latrobe LSS™ O1 Tool Steel (ASTM O1);7.83;214.0
Latrobe DuraTech™ A11 Powder Metal Tool Steel (AISI A11);7.4;221.0
M50-NiL High Performance Carburizing Bearing and Gear Steel;7.86;203.0
300M Ultrahigh Strength Steel;7.87;205.0
ASTM A588 HSLA Steel Grade A, Thickness < 100 mm (4 in.);7.75;205.0
ASTM A690 HSLA Steel, Thickness < 100 mm (4 in.);7.8;205.0
Assab Steels 718HH Plastic Mold Material;7.81;205.0
PSM Industries PolyAlloys MIM-4605 quench/temper Low Alloy Steel;7.5;203.0
QuesTek Innovations Ferrium S53 Corrosion Resistant High Strength Steel for Aerospace Structural Applications;7.98;204.0
Latrobe Lescalloy M50 VIM-VAR High Performance Bearing Steel;8.03;203.0
Latrobe CM-50™ ASTM M50 High Speed Steel;7.83;203.0
AK Steel ASTM A 463 / SAE J1392 040 AHK, Grade 40 Aluminized Carbon Steel, Structural Steel (SS);7.85;201.0
AISI 1006 Steel, cold drawn;7.87;206.0
AISI 1021 Steel, cold drawn;7.86;205.0
AISI 1038 Steel, cold drawn, 19-32 mm (0.75-1.25 in) round;7.84;205.0
Carpenter Micro-Melt M-4 Alloy (AISI M4);7.97;214.0
Carpenter Micro-Melt T-15 Alloy (AISI T15);8.19;203.5
Carpenter Hampden High Carbon, High Chrome Tool Steel (Oil-Wear) (AISI D3);7.78;207.0
Crucible Steel CPM 1V High Alloy Tool Steel;7.85;207.0
Crucible Steel CPM 9V Tool Steel;7.45;221.0
Crucible Steel CPM 10V (AISI A11) Tool Steel;7.42;221.0
Crucible Steel CPM 15V Tool Steel;7.25;235.0
Crucible Steel CPM Rex 20 (HS) High Speed Steel;8.17;235.0
Crucible Steel CPM Rex T15(HS), AISI T15 High Speed Steel Rex T15(HS);8.19;214.0
Crucible Steel CPM Rex 76(HS), AISI M48 High Speed Steel Rex 76(HS);8.26;214.0
Crucible Steel CPM S90V (420V) Tool Steel;7.4;215.0
Crucible Steel Cru-Wear Tool Steel;7.8;207.0
Crucible Steel CPM REX 66 (HS) High Speed Steel;8.25;214.0
AISI 1020 Steel, cold rolled;7.87;186.0
AISI 1021 Steel, hot rolled, 19-32 mm (0.75-1.25 in) round;7.86;200.0
AISI 1035 Steel, hot rolled, 19-32 mm (0.75-1.25 in) round;7.87;196.0
AISI 1038 Steel, hot rolled round, 19-32 mm (0.75-1.25 in);7.84;200.0
EN 1.0044 High Manganese Carbon Steel;2.85;200.0
ASTM class 20 Standard gray iron test bars, as cast;7.15;81.5
ASTM class 25 Standard gray iron test bars, as cast;7.15;90.5
ASTM class 30 Standard gray iron test bars, as cast;7.15;101.5
ASTM class 35 Standard gray iron test bars, as cast;7.15;109.5
ASTM class 40 Standard gray iron test bars, as cast;7.15;124.0
ASTM class 50 Standard gray iron test bars, as cast;7.15;143.5
ASTM class 60 Standard gray iron test bars, as cast;7.15;151.5
Ductile Iron tension grade 60-40-18;7.15;169.0
Ductile Iron tension grade 65-45-12;7.15;168.0
Ductile Iron tension grade 120-90-02;7.15;164.0
Ductile Iron compression grade 65-45-12;7.15;163.0
Ductile Iron compression grade 80-55-06;7.15;165.0
Ductile Iron torsion grade 60-40-18;7.15;63.0
Ductile Iron torsion grade 65-45-12;7.15;65.5
Ductile Iron torsion grade 80-55-06;7.15;64.0
Ductile Iron torsion grade 120-90-02;7.15;65.0
ASTM A897/A897M-06 Grade 750 (110-70-11) Austempered Ductile Iron;7.1;166.5
ASTM A897/A897M-06 Grade 1 (130-90-09) Austempered Ductile Iron;7.09;166.5
ASTM A897 Grade 2 (150-100-07 or 150-110-7) Austempered Ductile Iron;7.09;164.0
ASTM A897 Grade 3 (175-125-04) Austempered Ductile Iron;7.08;162.5
ASTM A897 Grade 4 (200-155-01 or 200-155-02) Austempered Ductile Iron;7.07;160.5
ASTM A897 Grade 5 (230-185-00 or 230-185-01) Austempered Ductile Iron;7.06;159.0
SAE J2477 AD 750 Automotive Austempered Ductile Iron;7.15;148.0
Dura-Bar 60-40-18 Continuously Cast Ductile Iron Bar Stock ASTM A536, 4018;6.92;172.0
Dura-Bar G2 Continuously Cast Gray Iron Bar Stock ASTM A48;7.2;124.0
Dura-Bar G1 Continuously Cast Gray Iron Bar Stock ASTM A48;7.2;138.0
Meehanite AQ Flake Graphite Cast Iron;7.34;152.0
Meehanite GM-60 Flake Graphite Cast Iron;7.34;148.0
Meehanite GA-50 Flake Graphite Cast Iron;7.31;138.0
Meehanite GC-40 Flake Graphite Cast Iron;7.25;114.0
Meehanite GE-30 Flake Graphite Cast Iron;7.06;89.6
Meehanite GF-20 Flake Graphite Cast Iron;6.8;62.1
Meehanite Ductliron SP-80 Nodular Graphite Ductile Iron;7.2;172.0
Meehanite Ductliron SH-100 Nodular Graphite Ductile Iron;7.22;165.0
Meehanite Ductliron SF-60 Nodular Graphite Ductile Iron;7.18;165.0
Meehanite Almanite W1 Wear and Abrasion Resisting Cast Iron;7.7;179.0
Meehanite Almanite WS Wear and Abrasion Resisting Cast Iron;7.7;165.0
PSM Industries Pacific Sintered Metals F-200-P Iron Powdered Metal (MPIF F-0000-10);6.2;96.5
PSM Industries Pacific Sintered Metals F-241-S Iron Powdered Metal (MPIF F-0000-15);7.0;117.0
PSM Industries Pacific Sintered Metals F-241-T Iron Powdered Metal (MPIF F-0000-20);7.4;145.0
